type,probability_non_drunk,percentage_non_drunk
OJBK,0.09902621851267138,9.902621851267138
THAN-K,0.0793925279465537,7.93925279465537
FAKE,0.06717292125455966,6.717292125455966
SEXY,0.05926730168367528,5.926730168367528
MALO,0.05841671424868807,5.8416714248688075
Dior-s,0.05243103185490016,5.243103185490016
MUM,0.05224383989665554,5.224383989665554
ZZZZ,0.046836110931654934,4.683611093165493
LOVE-R,0.04216864740986891,4.216864740986892
IMSB,0.04199936622350399,4.199936622350399
CTRL,0.03721140571891643,3.721140571891643
SOLO,0.0366441151231937,3.6644115123193703
FUCK,0.034231248414948956,3.4231248414948956
GOGO,0.03090493234083962,3.090493234083962
JOKE-R,0.03033582976041311,3.033582976041311
OH-NO,0.030105638011313333,3.010563801131333
MONK,0.02914138338202345,2.914138338202345
SHIT,0.025642510610738502,2.56425106107385
DEAD,0.024472804792727416,2.4472804792727416
ATM-er,0.024351123050696474,2.4351123050696475
THIN-K,0.02302049905264561,2.302049905264561
WOC!,0.02085684993289036,2.085684993289036
IMFW,0.020573971243942134,2.0573971243942135
POOR,0.017211554859195895,1.7211554859195894
BOSS,0.015858977969541513,1.5858977969541512
HHHH,0.0004824757732418225,0.04824757732418225
